Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PS/G
247,Michael Kidd-Gilchrist,SF,24,CHO,32,32,26.3,4.3,8.6,0.495,0,0.1,0,4.3,8.5,0.498,0.495,1.5,2.3,0.649,1.4,3.6,5,1.2,0.7,0.7,0.6,2.2,10
248,Sean Kilpatrick,SG,28,TOT,22,0,10.8,1.7,5,0.342,0.7,2.5,0.286,1,2.5,0.4,0.414,0.9,1,0.952,0,2,2,0.9,0.1,0,0.8,0.6,5.1
248,Sean Kilpatrick,SG,28,BRK,16,0,11.4,1.6,5.4,0.291,0.7,2.6,0.262,0.9,2.8,0.318,0.355,1.1,1.2,0.947,0.1,2.1,2.2,0.9,0.1,0.1,1,0.5,4.9
248,Sean Kilpatrick,SG,28,MIL,6,0,9,2.2,4.2,0.52,0.8,2.3,0.357,1.3,1.8,0.727,0.62,0.3,0.3,1,0,1.5,1.5,0.7,0,0,0.2,0.8,5.5
249,Maxi Kleber,PF,26,DAL,36,27,18.5,2.4,4.6,0.512,0.5,1.7,0.3,1.9,2.9,0.632,0.566,0.5,0.8,0.704,1.2,2.2,3.4,0.6,0.3,0.7,0.3,1.6,5.8
250,Furkan Korkmaz,SG,20,PHI,6,0,5.3,0.5,2,0.25,0.2,1.3,0.125,0.3,0.7,0.5,0.292,0.3,0.3,1,0.3,0.7,1,0.3,0.2,0,0.2,0.7,1.5
251,Kyle Korver,SG,36,CLE,40,0,22.5,3.4,7.3,0.469,2.5,5.5,0.448,0.9,1.7,0.536,0.64,0.9,1,0.875,0.1,1.9,2,1.1,0.4,0.3,0.7,1.8,10.2
252,Kosta Koufos,C,28,SAC,39,4,18.3,2.4,4.6,0.531,0,0,,2.4,4.6,0.531,0.531,0.6,1.3,0.469,1.9,3.9,5.8,1.2,0.7,0.5,0.7,1.8,5.5
253,Kyle Kuzma,PF,22,LAL,39,20,31.4,6.4,13.7,0.464,2,5.3,0.376,4.4,8.5,0.518,0.536,2.2,3,0.733,1.5,4.8,6.3,1.8,0.5,0.5,1.9,2.3,16.9
254,Mindaugas Kuzminskas,SF,28,NYK,1,0,2,0,2,0,0,0,,0,2,0,0,0,0,,0,0,0,0,0,0,0,0,0
255,Skal Labissiere,PF,21,SAC,35,15,16.7,3.1,6.6,0.461,0.1,0.3,0.333,2.9,6.3,0.468,0.47,1.3,1.6,0.821,1.5,2.7,4.2,0.7,0.4,0.6,1,2,7.5
256,Jeremy Lamb,SG,25,CHO,37,14,26.5,5.2,11.6,0.445,1.2,3.4,0.354,3.9,8.2,0.483,0.498,2.9,3.4,0.865,0.6,4.1,4.6,2.6,0.8,0.4,1.3,1.7,14.5
257,Shane Larkin,PG,25,BOS,31,0,11.1,1.3,3.2,0.404,0.5,1.3,0.39,0.8,1.9,0.414,0.485,0.5,0.6,0.85,0.2,1,1.2,1.1,0.3,0,0.4,1.1,3.6
258,Joffrey Lauvergne,C,26,SAS,24,1,11,1.7,3.7,0.455,0,0.2,0,1.7,3.5,0.476,0.455,0.7,1.1,0.654,1.3,2,3.2,0.8,0.3,0,0.7,1.2,4
259,Jake Layman,SF,23,POR,18,1,6.2,0.6,1.9,0.294,0.2,0.8,0.2,0.4,1.1,0.368,0.338,0.1,0.1,1,0.2,0.5,0.7,0.3,0.2,0.2,0.2,0.7,1.4
260,T.J. Leaf,PF,20,IND,31,0,9.5,1.4,2.9,0.473,0.5,0.9,0.519,0.9,2.1,0.453,0.549,0.1,0.2,0.429,0.7,1,1.7,0.2,0.2,0.1,0.2,1,3.3
261,Courtney Lee,SG,32,NYK,40,40,32.7,5,11.1,0.455,1.6,3.9,0.422,3.4,7.2,0.472,0.528,1.8,1.9,0.961,0.5,3,3.5,2.8,1.4,0.2,1.4,1.5,13.5
262,Alex Len,C,24,PHO,37,2,21,3.1,5.6,0.548,0,0,,3.1,5.6,0.548,0.548,2.4,3.3,0.736,2.8,5.5,8.3,1.2,0.4,0.9,1.3,2.4,8.6
263,Kawhi Leonard,SF,26,SAS,8,8,22.6,5.9,12.9,0.456,1.4,4.3,0.324,4.5,8.6,0.522,0.51,2.8,3.4,0.815,0.8,3.5,4.3,2.1,1.8,1,1.6,1,15.9
264,Meyers Leonard,C,25,POR,13,2,10.5,2.1,3.5,0.6,0.5,1,0.538,1.5,2.5,0.625,0.678,0.5,0.6,0.75,0.5,2.2,2.6,0.5,0.2,0,0.3,1.5,5.2
265,Jon Leuer,PF,28,DET,8,0,17,1.9,4.5,0.417,0,0.4,0,1.9,4.1,0.455,0.417,1.6,1.9,0.867,0.9,3.1,4,0.6,0.1,0.4,1,2,5.4
266,Caris LeVert,SF,23,BRK,38,9,26.9,4.4,10.2,0.434,1.2,3.4,0.357,3.2,6.8,0.473,0.494,1.9,2.8,0.698,0.7,3,3.7,4.2,1.3,0.4,2.4,2.2,12
267,DeAndre Liggins,SG,29,MIL,31,1,15.5,0.7,2.1,0.338,0.4,1.2,0.306,0.4,0.9,0.379,0.423,0.1,0.2,0.4,0.2,1.4,1.6,0.9,0.9,0.3,0.5,2,1.8
268,Damian Lillard,PG,27,POR,33,33,36.7,8,19.1,0.421,2.9,8,0.358,5.2,11.1,0.466,0.496,5.9,6.4,0.925,0.8,4,4.8,6.3,1,0.5,3.2,1.7,24.9
269,Jeremy Lin,PG,29,BRK,1,1,25,5,12,0.417,1,2,0.5,4,10,0.4,0.458,7,7,1,0,0,0,4,0,0,3,3,18
270,Shaun Livingston,PG,32,GSW,34,6,15.9,2.4,4.6,0.513,0,0.1,0,2.4,4.5,0.519,0.513,0.6,0.9,0.724,0.5,1.2,1.7,2,0.4,0.3,0.8,1.6,5.3
271,Kevon Looney,C,21,GSW,31,0,9.7,1.1,1.9,0.576,0,0,,1.1,1.9,0.576,0.576,0.5,1,0.567,0.9,1.6,2.5,0.4,0.3,0.7,0.5,1.5,2.7
272,Brook Lopez,C,29,LAL,32,31,22,4.8,10.7,0.446,1.4,4.3,0.326,3.3,6.3,0.527,0.512,1.8,2.3,0.747,1.2,2.9,4.1,1.7,0.5,1.4,1.6,2.9,12.7
273,Robin Lopez,C,29,CHI,41,41,28.2,5.6,10.8,0.519,0,0.2,0.286,5.6,10.6,0.523,0.521,1.3,1.7,0.757,2.4,2.5,4.9,2.2,0.2,0.9,1.7,1.9,12.6
274,Kevin Love,C,29,CLE,39,39,29,6.3,13.5,0.462,2.4,5.8,0.412,3.8,7.7,0.5,0.551,4.5,5.1,0.884,2.3,7.4,9.6,1.7,0.6,0.4,1.7,2.1,19.4
275,Kyle Lowry,PG,31,TOR,38,38,32.8,5.1,12.1,0.426,2.9,7.5,0.392,2.2,4.5,0.483,0.548,3,3.4,0.878,0.8,5.3,6.1,7,1.2,0.1,2.7,2.2,16.2
276,Timothe Luwawu-Cabarrot,SF,22,PHI,34,1,16.1,2.1,5.5,0.385,1,3.1,0.308,1.1,2.4,0.488,0.473,0.9,1.2,0.738,0.4,1.3,1.7,1.1,0.3,0.1,0.9,2,6.1
277,Tyler Lydon,PF,21,DEN,1,0,2,0,0,,0,0,,0,0,,,0,0,,0,0,0,0,0,0,0,0,0
278,Trey Lyles,PF,22,DEN,35,1,19.6,4,7.4,0.535,1.4,3.1,0.467,2.5,4.4,0.582,0.631,1.3,2,0.671,0.9,4,4.9,0.9,0.5,0.3,0.9,1.3,10.7
279,Shelvin Mack,PG,27,ORL,29,3,17,1.3,3.8,0.345,0.3,1.2,0.294,1,2.6,0.368,0.391,0.9,1.3,0.676,0.3,1.7,2,3.8,0.5,0.1,0.9,0.9,3.8
280,Josh Magette,PG,28,ATL,8,0,8,0.5,1.5,0.333,0.1,0.5,0.25,0.4,1,0.375,0.375,0.5,0.5,1,0.1,0.6,0.8,2.1,0.3,0,0.3,0.8,1.6
281,Ian Mahinmi,C,31,WAS,38,0,15,1.3,2.6,0.52,0,0,,1.3,2.6,0.52,0.52,1.1,1.6,0.705,1.7,2.1,3.8,0.7,0.5,0.4,1.3,3,3.8
282,Thon Maker,C,20,MIL,39,8,18.4,1.7,4.1,0.411,0.5,1.3,0.346,1.2,2.7,0.443,0.468,0.8,1.3,0.653,1.1,2.6,3.7,0.7,0.5,0.8,0.7,2.5,4.6
283,Boban Marjanovic,C,29,DET,15,1,8.3,2,3.8,0.526,0,0,,2,3.8,0.526,0.526,2.1,2.6,0.795,0.8,1.7,2.5,0.7,0.1,0.3,1.1,1.5,6.1
284,Lauri Markkanen,PF,20,CHI,38,38,29.7,5.4,12.6,0.427,2.3,6.3,0.357,3.1,6.3,0.498,0.517,1.9,2.3,0.837,1.1,6.4,7.6,1.3,0.5,0.5,1.3,1.6,14.9
285,Jarell Martin,PF,23,MEM,37,13,17.6,2.2,4.9,0.437,0.3,1,0.289,1.9,3.9,0.476,0.467,0.8,1,0.816,1.1,2.2,3.3,0.5,0.6,0.7,0.8,2.6,5.5
286,Frank Mason,PG,23,SAC,29,2,18.6,2.7,6.9,0.385,0.6,1.5,0.419,2,5.4,0.376,0.43,1.7,2.2,0.762,0.4,1.7,2.1,2.9,0.5,0.1,1.3,1.1,7.6
287,Mangok Mathiang,C,25,CHO,3,0,3.3,0,0.7,0,0,0,,0,0.7,0,0,0,0,,0.3,1.7,2,0,0,0,0,0.7,0
288,Wesley Matthews,SF,31,DAL,42,41,34.3,4.4,10.7,0.411,2.4,6.1,0.388,2,4.6,0.44,0.521,1.3,1.5,0.815,0.3,2.8,3.1,2.9,1.1,0.2,1.4,2.2,12.4
289,Luc Mbah a Moute,PF,31,HOU,24,3,25.3,2.5,5.5,0.458,1,2.8,0.373,1.5,2.7,0.547,0.553,0.8,1.1,0.667,0.5,2.8,3.4,1,1.3,0.5,1.3,1.8,6.8
290,James Michael McAdoo,PF,25,PHI,3,0,6,0.7,2.3,0.286,0.7,2.3,0.286,0,0,,0.429,0.7,0.7,1,0,0.7,0.7,0,0,0.3,0.3,0.3,2.7
291,Patrick McCaw,SG,22,GSW,37,5,16.1,1.6,3.5,0.45,0.4,1.5,0.273,1.2,2.1,0.579,0.508,0.4,0.6,0.696,0.3,1.2,1.5,1.5,0.8,0.2,0.6,1.1,4
292,C.J. McCollum,SG,26,POR,39,39,36.6,8.2,18.4,0.446,2.4,5.7,0.414,5.8,12.7,0.46,0.51,2.8,3.2,0.871,0.7,3.4,4.2,3.4,1,0.3,2,2.2,21.5
293,T.J. McConnell,PG,25,PHI,33,1,24.5,3.1,5.9,0.526,0.4,1,0.406,2.7,4.9,0.549,0.559,0.4,0.5,0.824,0.6,2.8,3.4,4.7,1.2,0.3,1.9,1.9,7
294,Chris McCullough,PF,22,WAS,12,0,5.4,1.3,2.8,0.441,0.1,0.5,0.167,1.2,2.3,0.5,0.456,0.4,0.7,0.625,0.5,1.2,1.7,0.1,0,0.3,0,0.7,3
295,Doug McDermott,SF,26,NYK,40,1,24,3.2,6.9,0.467,1.1,2.9,0.395,2.1,4,0.519,0.549,0.7,0.9,0.784,0.7,2.1,2.8,1,0.2,0.3,0.7,1.7,8.3
296,JaVale McGee,C,30,GSW,31,4,8.3,1.7,2.7,0.619,0,0.1,0,1.7,2.6,0.65,0.619,0.6,0.8,0.76,0.7,1.3,1.9,0.5,0.3,0.7,0.4,1.2,4
297,Alfonzo McKinnie,SF,25,TOR,9,0,3.7,0.4,0.8,0.571,0.1,0.4,0.25,0.3,0.3,1,0.643,0.2,0.3,0.667,0,0.6,0.6,0.1,0.1,0.1,0.1,0.7,1.2
298,Ben McLemore,SG,24,MEM,23,5,17.2,2.5,6.1,0.414,0.8,2.6,0.317,1.7,3.5,0.488,0.482,0.7,0.8,0.789,0.4,1.7,2.1,0.9,0.6,0.3,0.9,2.6,6.5
299,Josh McRoberts,PF,30,DAL,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,1,0
300,Jodie Meeks,SG,30,WAS,40,0,16.1,2,5.5,0.356,0.9,2.9,0.313,1.1,2.6,0.404,0.438,1.6,1.8,0.873,0.2,1.5,1.7,0.9,0.5,0,0.6,1,6.4
301,Salah Mejri,C,31,DAL,37,1,11.6,1.4,2.1,0.679,0,0.1,0,1.4,2.1,0.697,0.679,0.6,1.1,0.537,1.2,2.7,3.9,0.5,0.3,1.2,0.5,1.9,3.5
302,Jordan Mickey,PF,23,MIA,16,2,14.4,2,4.2,0.478,0.1,0.7,0.091,1.9,3.5,0.554,0.485,0.7,1,0.688,0.9,3.6,4.4,0.6,0.2,0.4,0.9,1.9,4.8
303,Khris Middleton,SF,26,MIL,39,39,37.2,7.3,15.9,0.461,2,5.7,0.357,5.3,10.2,0.519,0.525,3.6,4,0.897,0.4,4.6,5,4.3,1.2,0.2,2.3,3.4,20.3
304,C.J. Miles,SF,30,TOR,32,2,18.2,3.2,8.1,0.391,2.3,6.2,0.381,0.8,1.9,0.426,0.537,1.1,1.2,0.919,0.2,1.6,1.8,0.6,0.8,0.3,0.5,1.9,9.7
305,Darius Miller,SF,27,NOP,39,2,21.2,2.5,5.5,0.451,1.8,4.2,0.436,0.6,1.3,0.5,0.619,0.7,0.8,0.848,0.1,1.5,1.6,1.2,0.3,0.1,0.5,1.9,7.5
306,Malcolm Miller,SF,24,TOR,2,0,4,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,0,0,0,0,0,0
307,Patty Mills,PG,29,SAS,42,12,24.6,3.3,7.8,0.419,1.8,4.6,0.383,1.5,3.2,0.471,0.532,1.2,1.3,0.909,0.3,1.6,1.9,2.8,0.7,0.1,1.3,1.4,9.5
308,Paul Millsap,PF,32,DEN,16,16,29.7,5.6,12.6,0.446,1.3,3.6,0.345,4.4,9,0.486,0.495,2.8,4.1,0.692,1.5,4.7,6.2,3,1.1,1.3,2.1,2.4,15.3
309,Nikola Mirotic,PF,26,CHI,17,3,25.1,6.1,12.5,0.486,2.8,5.9,0.465,3.3,6.5,0.505,0.597,2.5,3.3,0.75,1,6,7,1.5,0.5,0.4,1.2,1.9,17.4
310,Donovan Mitchell,SG,21,UTA,38,30,31.2,6.9,15.6,0.439,2.2,6.3,0.354,4.6,9.3,0.497,0.511,2.5,2.9,0.848,0.4,2.8,3.3,3.4,1.5,0.4,2.5,3.2,18.5
311,Naz Mitrou-Long,SG,24,UTA,1,0,1,1,1,1,1,1,1,0,0,,1.5,0,0,,0,0,0,0,0,0,0,0,3
312,Malik Monk,SG,19,CHO,31,0,13.8,2,5.9,0.342,1.1,3.4,0.337,0.9,2.6,0.35,0.438,0.4,0.5,0.706,0.1,1,1,1.4,0.3,0.1,0.7,0.9,5.6
313,Greg Monroe,C,27,TOT,19,11,21.9,4.5,7.8,0.574,0,0,,4.5,7.8,0.574,0.574,1.3,1.8,0.714,2.3,5.3,7.5,2.3,0.5,0.3,1.6,1.9,10.3
313,Greg Monroe,C,27,MIL,5,0,15.8,3.2,6.6,0.485,0,0,,3.2,6.6,0.485,0.485,0.4,0.8,0.5,1.2,3.8,5,1,0,0,1.2,1.4,6.8
313,Greg Monroe,C,27,PHO,14,11,24.1,4.9,8.2,0.6,0,0,,4.9,8.2,0.6,0.6,1.6,2.2,0.742,2.6,5.8,8.4,2.7,0.7,0.4,1.8,2.1,11.5
314,Luis Montero,SG,24,DET,2,0,4,0,0.5,0,0,0,,0,0.5,0,0,0,0,,0,1,1,0,0,0,1,0,0
315,E'Twaun Moore,SG,28,NOP,39,37,32.2,5.5,10.1,0.546,1.7,3.8,0.456,3.7,6.2,0.601,0.633,0.5,0.8,0.633,0.8,1.9,2.7,2.1,1,0.1,1.3,2.3,13.2
316,Eric Moreland,PF,26,DET,35,1,12,0.6,1.3,0.467,0,0,,0.6,1.3,0.467,0.467,0.2,0.3,0.5,1.2,2.4,3.6,0.9,0.4,0.7,0.5,1.9,1.4
317,Marcus Morris,PF,28,BOS,21,11,23.3,4,9.7,0.407,1.2,3.6,0.347,2.7,6.1,0.442,0.471,1.9,2.4,0.784,0.4,4.6,5,1.4,0.5,0.3,1.1,2,11
318,Markieff Morris,PF,28,WAS,32,32,24.8,4.1,8.7,0.466,0.9,2.5,0.367,3.2,6.3,0.505,0.518,1.4,1.7,0.83,1.1,4.3,5.5,1.1,0.6,0.5,1.6,3.1,10.4
319,Monte Morris,PG,22,DEN,1,0,3,0,1,0,0,1,0,0,0,,0,0,0,,0,0,0,1,0,0,0,0,0
320,Johnathan Motley,PF,22,DAL,1,0,2,1,1,1,0,0,,1,1,1,1,2,4,0.5,0,1,1,0,0,1,0,0,4
321,Timofey Mozgov,C,31,BRK,24,14,13,1.8,3.2,0.545,0.1,0.7,0.176,1.6,2.5,0.65,0.565,0.8,1,0.76,1.2,2.4,3.5,0.3,0.1,0.4,1.2,1.4,4.4
322,Emmanuel Mudiay,PG,21,DEN,31,0,19.8,3.2,8.1,0.4,1.1,2.8,0.407,2.1,5.3,0.396,0.47,1.8,2.2,0.797,0.4,2,2.4,3.1,0.5,0.1,2,1.2,9.4
323,Shabazz Muhammad,SF,25,MIN,24,2,10.8,1.6,4.1,0.384,0.2,0.8,0.211,1.4,3.3,0.425,0.404,0.5,0.8,0.722,0.5,1.1,1.6,0.3,0.2,0.1,0.1,0.8,3.9
324,Dejounte Murray,PG,21,SAS,42,13,17.5,2.5,6,0.409,0.1,0.4,0.2,2.4,5.6,0.422,0.415,1.1,1.7,0.686,1,3.5,4.5,2.5,0.7,0.3,1.5,1.6,6.1
325,Jamal Murray,PG,20,DEN,40,40,29.4,5.9,13.1,0.448,1.9,5.2,0.364,4,8,0.503,0.52,2.5,2.8,0.918,1.1,2.4,3.5,2.7,0.9,0.3,2,1.9,16.2
326,Mike Muscala,C,26,ATL,12,5,18.9,2.2,4.8,0.456,0.7,1.8,0.381,1.5,3,0.5,0.526,1.1,1.2,0.929,1.2,3,4.2,0.8,0.7,0.4,0.7,2.1,6.1
327,Abdel Nader,SF,24,BOS,19,0,7.9,0.8,2.3,0.341,0.4,1.2,0.318,0.4,1.2,0.364,0.42,0.1,0.2,0.333,0.3,0.8,1.1,0.4,0.3,0.2,0.4,0.7,2
328,Larry Nance,PF,25,LAL,29,17,21.4,3.7,6.1,0.596,0,0.1,0,3.7,6.1,0.602,0.596,1.3,2.2,0.609,2.4,4,6.4,1.4,1.4,0.4,1,2.8,8.7
329,Shabazz Napier,PG,26,POR,34,6,21,3.6,7.3,0.488,1,2.4,0.422,2.5,4.9,0.521,0.558,1.7,2,0.841,0.3,2,2.4,2.2,1.4,0.2,1.2,1.1,9.9
330,Jameer Nelson,PG,35,NOP,35,0,22.7,1.9,4.8,0.405,0.9,2.5,0.368,1,2.3,0.444,0.5,0.4,0.5,0.765,0.3,2.1,2.4,3.8,0.6,0.1,1.5,1.6,5.2
331,Raul Neto,PG,25,UTA,17,0,13.3,1.9,4.1,0.471,0.6,1.3,0.455,1.4,2.8,0.479,0.543,0.5,0.8,0.615,0.1,1.2,1.4,1.9,0.4,0.1,0.7,0.8,4.9
332,Joakim Noah,C,32,NYK,6,0,6,0.7,1.5,0.444,0,0,,0.7,1.5,0.444,0.444,0.3,0.7,0.5,1,1.2,2.2,0.7,0.3,0.3,0.5,0.8,1.7
333,Nerlens Noel,C,23,DAL,18,6,12.5,1.6,2.9,0.528,0,0,,1.6,2.9,0.528,0.528,0.9,1.1,0.842,1.4,2.6,4.1,0.3,0.6,0.6,0.8,1.7,4
334,Lucas Nogueira,C,25,TOR,23,2,11.3,1.5,2.4,0.618,0.1,0.5,0.273,1.3,1.9,0.705,0.645,0.5,0.6,0.857,0.6,1.8,2.4,0.4,0.6,1.3,0.4,1.5,3.6
335,Dirk Nowitzki,C,39,DAL,42,42,25.2,4.7,10,0.468,1.6,3.9,0.421,3,6.1,0.498,0.55,1.3,1.5,0.903,0.4,5.2,5.6,1.7,0.5,0.4,0.7,1.7,12.3
336,Frank Ntilikina,PG,19,NYK,37,0,21.4,2.3,6.3,0.361,0.6,1.9,0.319,1.6,4.4,0.379,0.41,0.7,1,0.694,0.4,1.9,2.3,3.4,1.2,0.2,1.8,2.6,5.8
337,Jusuf Nurkic,C,23,POR,37,37,27.4,6,12.9,0.462,0,0.2,0,6,12.7,0.469,0.462,2.8,4.4,0.642,2,6,8,1.9,0.8,1.2,2.6,3.1,14.8
338,David Nwaba,SG,25,CHI,29,3,22.8,2.8,5.2,0.539,0.1,0.5,0.267,2.7,4.7,0.569,0.553,1.9,3,0.614,1,3.7,4.6,1.3,0.8,0.5,0.9,2.1,7.7
339,Johnny O'Bryant,PF,24,CHO,24,0,10.8,2.2,5.3,0.413,0.3,1.1,0.296,1.8,4.1,0.444,0.444,0.6,0.8,0.833,0.9,1.9,2.8,0.4,0.3,0.2,0.5,1.1,5.3
340,Royce O'Neale,SF,24,UTA,27,0,10,0.9,2.6,0.343,0.5,1.5,0.341,0.4,1.1,0.345,0.443,0.8,1,0.75,0.2,1.9,2.1,0.9,0.3,0,0.5,0.8,3.1
341,Kyle O'Quinn,C,27,NYK,40,3,16.8,2.8,4.8,0.585,0,0.1,0,2.8,4.7,0.601,0.585,1.2,1.6,0.754,1.5,4.5,6,2,0.5,1,1.4,2.8,6.9
342,Semi Ojeleye,PF,23,BOS,38,0,13.9,0.8,2.4,0.312,0.6,1.9,0.288,0.2,0.5,0.4,0.425,0.3,0.6,0.619,0.5,1.4,2,0.2,0.3,0,0.3,1,2.4
343,Jahlil Okafor,C,22,TOT,6,0,13.5,2.7,6.3,0.421,0,0.3,0,2.7,6,0.444,0.421,0.7,1,0.667,1,2.5,3.5,0.2,0.2,0.7,1.2,2.2,6
343,Jahlil Okafor,C,22,PHI,2,0,12.5,2,4.5,0.444,0,0,,2,4.5,0.444,0.444,1,2,0.5,2,2.5,4.5,0.5,0,1,1.5,3.5,5
343,Jahlil Okafor,C,22,BRK,4,0,14,3,7.3,0.414,0,0.5,0,3,6.8,0.444,0.414,0.5,0.5,1,0.5,2.5,3,0,0.3,0.5,1,1.5,6.5
344,Victor Oladipo,SG,25,IND,35,35,34.1,8.8,17.9,0.492,2.7,6.3,0.421,6.2,11.6,0.531,0.566,4.2,5.3,0.791,0.5,4.7,5.2,4.1,1.9,1,2.9,2.3,24.5
345,Kelly Olynyk,PF,26,MIA,40,18,23.8,3.7,7.4,0.503,1.3,3,0.432,2.4,4.4,0.551,0.59,1.7,2.2,0.773,1.2,4.7,5.9,2.2,0.9,0.5,2.2,3.2,10.4
346,Cedi Osman,SF,22,CLE,32,0,8.1,0.9,1.9,0.483,0.3,0.7,0.391,0.6,1.2,0.541,0.558,0.2,0.3,0.667,0.2,1.4,1.6,0.3,0.2,0,0.3,1.1,2.3
347,Kelly Oubre,SF,22,WAS,40,9,27,4,9.2,0.429,1.5,3.9,0.376,2.5,5.3,0.469,0.51,2.2,2.6,0.829,0.8,4.1,4.8,1.2,0.9,0.5,1.1,2.9,11.6
348,Zaza Pachulia,C,33,GSW,32,32,14.5,2.1,3.8,0.558,0,0,,2.1,3.8,0.558,0.558,1.1,1.3,0.829,1,3.7,4.7,1.6,0.7,0.2,1.2,1.8,5.3
349,Marcus Paige,PG,24,CHO,1,0,3,0,2,0,0,0,,0,2,0,0,0,0,,0,2,2,0,0,0,0,0,0
350,Georgios Papagiannis,C,20,SAC,9,0,7.8,1.3,2.8,0.48,0,0,,1.3,2.8,0.48,0.48,0,0,,0.9,1.6,2.4,0.2,0.2,0.3,0.3,0.7,2.7
351,Tony Parker,PG,35,SAS,17,17,21.7,3.8,7.4,0.508,0.1,0.6,0.2,3.6,6.8,0.534,0.516,0.9,1.5,0.64,0.2,2,2.2,4.1,0.4,0.1,1.8,0.7,8.6
352,Chandler Parsons,SF,29,MEM,26,7,21,3.3,6.9,0.486,1.5,3.7,0.411,1.8,3.2,0.571,0.595,0.6,1,0.6,0.5,2.4,2.8,2,0.5,0.3,1.1,1.8,8.8
353,Patrick Patterson,PF,28,OKC,41,0,14.2,1,2.8,0.371,0.7,1.9,0.367,0.3,0.9,0.378,0.496,0.4,0.4,1,0.2,1.6,1.9,0.5,0.5,0.2,0.5,1,3.2
354,Brandon Paul,SG,26,SAS,39,2,11.3,1.1,2.5,0.443,0.4,1.1,0.326,0.7,1.4,0.537,0.515,0.5,0.8,0.6,0.1,1.3,1.3,0.8,0.6,0.1,0.5,1.1,3
355,Chris Paul,PG,32,HOU,22,22,32,5.9,13,0.453,2.6,6.6,0.39,3.3,6.4,0.518,0.552,3.1,3.3,0.932,0.7,4.8,5.5,9.3,1.9,0.4,2.7,2.7,17.5
356,Adreian Payne,PF,26,ORL,5,0,8.6,1.4,2,0.7,0.4,0.6,0.667,1,1.4,0.714,0.8,1,1.2,0.833,0.4,1.4,1.8,0,0.4,0,0.4,1.2,4.2
357,Elfrid Payton,PG,23,ORL,32,32,29.1,5.3,10.3,0.511,0.7,1.7,0.389,4.6,8.7,0.534,0.542,1.5,2.5,0.6,1.1,2.9,4,6.5,1.4,0.3,2.7,2.3,12.7
358,Gary Payton,PG,25,MIL,12,6,8.8,1.1,2.8,0.394,0.2,1,0.167,0.9,1.8,0.524,0.424,0.2,0.3,0.667,0.3,1.1,1.4,0.8,0.3,0.1,0.3,1.4,2.5
359,London Perrantes,PG,23,CLE,1,0,3,0,1,0,0,0,,0,1,0,0,0,0,,0,0,0,0,0,0,0,1,0
360,Alec Peters,PF,22,PHO,2,0,7,0.5,2,0.25,0.5,2,0.25,0,0,,0.375,0,0,,0,1.5,1.5,0,0,1,0,0.5,1.5
361,Mason Plumlee,C,27,DEN,40,18,20.3,3,5.2,0.567,0,0,0,3,5.2,0.57,0.567,1.1,2.8,0.409,1.8,4.1,5.9,2,0.6,1.2,1.6,2.2,7
362,Miles Plumlee,C,29,ATL,21,18,18.6,2.2,3.4,0.648,0,0,,2.2,3.4,0.648,0.648,0.5,1.2,0.423,1.4,2.5,3.9,0.9,0.5,0.5,1.3,1.4,4.9
363,Jakob Poeltl,C,22,TOR,39,0,17,3,4.6,0.663,0,0.1,0.5,3,4.5,0.665,0.666,0.7,1.4,0.509,2,2.4,4.4,0.5,0.4,1.1,0.8,2.5,6.8
364,Quincy Pondexter,SF,29,CHI,19,1,9.6,0.7,2.6,0.286,0.2,1.2,0.136,0.6,1.4,0.407,0.316,0.7,0.9,0.824,0.4,0.8,1.3,0.4,0.4,0.1,0.6,1.3,2.4
365,Otto Porter,SF,24,WAS,36,36,31.4,5.6,11.3,0.495,1.8,4,0.448,3.8,7.3,0.521,0.575,1.2,1.5,0.811,1.2,5.3,6.5,1.8,1.5,0.6,0.8,1.9,14.2
366,Bobby Portis,PF,22,CHI,32,0,20.8,4.8,9.9,0.484,0.9,2.5,0.363,3.9,7.4,0.525,0.53,1.9,2.3,0.822,2,4.5,6.4,1.7,0.4,0.3,1.1,1.1,12.3
367,Kristaps Porzingis,PF,22,NYK,34,34,32.7,8.4,19.4,0.435,1.7,4.7,0.371,6.7,14.7,0.455,0.479,5.2,6.1,0.842,1.4,5.4,6.8,1.2,0.6,2.2,2.1,2.9,23.7
368,Dwight Powell,C,26,DAL,41,0,18.4,2.9,4.9,0.588,0.3,1.1,0.267,2.6,3.8,0.682,0.618,1.2,1.7,0.729,1.4,3.3,4.8,0.9,0.8,0.4,0.6,2.2,7.2
369,Norman Powell,SG,24,TOR,34,12,17.9,2.6,6.6,0.396,0.9,3,0.282,1.8,3.6,0.492,0.46,0.9,1,0.829,0.2,1.6,1.9,1.6,0.8,0.3,1.2,1.9,6.9
370,Alex Poythress,PF,24,IND,15,0,4.7,0.4,1,0.4,0.2,0.5,0.429,0.2,0.5,0.375,0.5,0,0,,0.3,0.4,0.7,0.1,0.2,0.1,0.1,0.7,1
